24.0907:00,Ehime,0,1,Fujieda MYFC,1
24.0906:30,Gainare Tottori,6,0,Kagoshima United,6
21.0903:00,Azul Claro Numazu,0,0,Fujieda MYFC,0
19.0906:00,Kagoshima United,1,0,Giravanz Kitakyushu,1
18.0906:00,Nagano,0,1,Fukushima United,1
18.0903:30,Imabari,1,0,Iwaki,1
18.0902:00,Yamaga,2,1,Gainare Tottori,3
18.0902:00,Fujieda MYFC,1,0,Sagamihara,1
17.0907:00,Vanraure,3,1,Gifu,4
17.0903:00,Azul Claro Numazu,1,0,Kataller Toyama,1
17.0901:00,YSCC,0,0,Kamatamare Sanuki,0
11.0906:00,Kagoshima United,3,2,Kamatamare Sanuki,5
11.0906:00,Giravanz Kitakyushu,0,1,Iwaki,1
11.0905:00,YSCC,0,4,Sagamihara,4
10.0907:00,Ehime,3,2,Imabari,5
10.0907:00,Gifu,1,1,Nagano,2
10.0906:30,Gainare Tottori,3,0,Azul Claro Numazu,3
10.0906:00,Kataller Toyama,2,1,Tegevajaro Miyazaki,3
10.0905:00,Fukushima United,0,1,Yamaga,1
10.0905:00,Fujieda MYFC,2,0,Vanraure,2
04.0906:00,Kamatamare Sanuki,1,1,Fujieda MYFC,2
04.0904:00,Imabari,2,3,Giravanz Kitakyushu,5
03.0907:00,Vanraure,1,2,Tegevajaro Miyazaki,3
03.0907:00,Gifu,3,0,YSCC,3
03.0906:00,Sagamihara,2,2,Gainare Tottori,4
03.0906:00,Yamaga,2,1,Ehime,3
03.0906:00,Kataller Toyama,3,2,Fukushima United,5
03.0904:30,Iwaki,1,0,Nagano,1
03.0904:00,Azul Claro Numazu,0,1,Kagoshima United,1
30.0807:00,Sagamihara,1,3,Fukushima United,4
28.0806:00,Kagoshima United,3,4,Imabari,7
28.0806:00,Nagano,1,0,Giravanz Kitakyushu,1
28.0803:00,Tegevajaro Miyazaki,1,0,YSCC,1
27.0806:30,Gainare Tottori,3,0,Kataller Toyama,3
27.0806:00,Yamaga,1,0,Kamatamare Sanuki,1
27.0806:00,Ehime,1,1,Gifu,2
27.0805:00,Fujieda MYFC,0,3,Iwaki,3
